title,page_id,char_count,word_count,sentence_count,syllable_count,complex_word_count,ARI,CLI,FRE,FKG,GFI,LIX,SMOG,section_count,subsection_count,paragraph_count,mean_section_size,mean_paragraph_size,longest_section_size,shortest_section_size,abstract_size,abstract_text_ratio,citation_count,citation_per_text,external_link_count,internal_link_count,link_per_text,image_count,image_per_text,infobox,mean_sentence_size,largest_sentence_size,shortest_sentence_size,question_count,exclamation_count,pronoun_start_count,pronoun_start_count_sentence_ratio,article_age_days,num_edits,num_editors,num_registered_editors,num_anonymous_editors,num_occasional_editors,review_per_day,review_per_user,revert_count,discussion_count,quality
Singer Building,306929,40731,7636,283,9928,770,11.5,10.9,61.97,9.0,8.95,44.98,11.3,16,21,56,2450.3125,728.6785714285714,7685,872,2055,0.050452971937836044,410,0.01006604306302325,2,199,0.004934816233335788,9,0.0002209619208956323,1,142.93286219081273,445,29,0,0,1,0.0035335689045936395,7608,630,313,222,91,276,0.08280757097791798,2.012779552715655,23,60,1
The Great Gatsby,76033,50905,9049,294,12931,1213,14.3,12.88,50.46,11.4,11.55,53.37,13.2,16,22,81,3084.5,629.641975308642,10017,48,2324,0.045653668598369515,133,0.002612709949906689,0,449,0.008820351635399274,1,1.9644435713584126e-05,1,172.14965986394557,549,33,1,0,28,0.09523809523809523,7977,8159,4252,1747,2506,3731,1.0228155948351512,1.9188617121354656,1680,596,1
Mother India,235406,36027,6696,202,9343,873,15.0,11.96,46.91,12.7,12.91,53.02,13.9,12,7,58,2839.6666666666665,622.0862068965517,9558,824,2251,0.06248091708996031,14,0.0003885974408082827,2,298,0.008327088017320343,6,0.00016654176034640685,1,177.35643564356437,1052,12,0,2,9,0.04455445544554455,7701,1628,432,277,155,361,0.21140111673808595,3.7685185185185186,114,111,1
Major depressive disorder,8389,63353,10506,330,16795,2253,17.0,15.61,31.82,14.4,12.41,60.64,16.4,14,22,96,4445.571428571428,661.2083333333334,17188,1217,2100,0.03314760153426041,383,0.006045491136962733,8,471,0.007560810064243209,9,0.00014206114943254462,1,190.9939393939394,957,17,1,0,3,0.00909090909090909,8276,10791,2927,1508,1419,2468,1.3038907684871919,3.686709941920055,1170,4145,1
To Kill a Mockingbird,73408,57789,10929,342,14622,1297,13.9,11.49,56.89,11.0,12.01,50.35,13.2,13,14,75,4304.0,771.6133333333333,18004,1572,2484,0.04298395888490889,232,0.004014604855595356,38,263,0.005208603713509491,3,5.191299382235374e-05,1,167.93859649122808,582,3,3,1,21,0.06140350877192982,7983,5035,2229,1162,1067,1899,0.6307152699486409,2.258860475549574,780,1183,1
Final Fantasy,10974,44530,8049,272,11608,1184,14.2,12.3,49.55,11.7,11.09,52.88,13.9,13,14,53,3325.0,841.566037735849,12090,690,1810,0.040646754996631486,359,0.008061980687177185,5,583,0.01320458118122614,5,0.00011228385358185493,1,162.71691176470588,679,46,0,0,6,0.022058823529411766,8310,8384,3705,1495,2211,3236,1.0089049338146812,2.2628879892037785,1998,1002,1
...And Justice for All (album),164381,20734,4019,126,5125,388,13.4,11.2,58.32,10.4,11.23,48.63,12.1,14,4,22,1334.0714285714287,945.2272727272727,4395,14,2414,0.11642712452975788,157,0.007572103790874892,2,277,0.013456158965949648,1,4.822996045143243e-05,1,163.5952380952381,479,8,2,1,8,0.06349206349206349,8536,4476,1877,763,1114,1593,0.5243673851921274,2.384656366542355,768,618,1
The Diary of a Nobody,242123,30101,5767,229,7479,644,13.4,11.78,59.53,9.9,11.48,51.25,12.5,7,3,54,4047.1428571428573,558.2037037037037,8536,2538,2084,0.06923358027972493,87,0.0028902694262649084,0,149,0.004950001661074383,7,0.00023255041360752135,1,130.43668122270742,501,2,3,0,13,0.056768558951965066,7690,595,237,179,58,206,0.07737321196358908,2.5105485232067513,30,49,1
Marble Madness,157562,15966,2862,109,4072,373,13.4,12.18,50.87,11.2,11.61,51.39,12.9,8,2,19,1837.5,841.7368421052631,5960,1198,1420,0.08893899536515094,93,0.005824877865464111,0,156,0.00977076287110109,3,0.00018789928598271326,1,145.4862385321101,399,29,0,1,6,0.05504587155963303,7867,855,412,253,159,359,0.10868183551544426,2.075242718446602,86,137,1
Alan Bush,64598,36281,6868,208,9158,833,14.4,11.73,56.49,11.1,12.32,52.43,13.4,8,17,53,4310.125,685.9433962264151,12009,30,2385,0.06573688707587994,189,0.0052093382211074665,0,144,0.00396901959703426,9,0.0002480637248146413,1,173.34615384615384,578,2,1,0,29,0.13942307692307693,8008,524,179,142,37,155,0.06543456543456544,2.9273743016759775,16,49,1
