,title,page_id,article_age_days,num_edits,num_editors,num_registered_editors,num_anonymous_editors,num_occasional_editors,revert_count,discussion_count,quality
254,Wood Badge,298282,7620,916,296,185,111,244,74,250,FA
255,Harry R. Truman,39014,8158,1072,517,323,194,442,135,65,FA
256,SMS Scharnhorst,191172,7787,586,217,166,51,193,68,69,FA
257,Proxima Centauri,81887,7964,2358,857,549,308,717,370,550,FA
258,Darjeeling,186729,7796,5242,1529,876,653,1257,597,283,FA
259,Jean Baptiste Point du Sable,40415,8160,1522,526,276,250,459,223,245,FA
260,Queen Victoria,47923,8450,8569,3445,1948,1497,2872,1268,1523,FA
261,William Walton,94339,7942,1060,361,255,106,303,91,86,FA
262,Battle of Midway,60112,8158,7704,3393,1492,1901,2871,1630,839,FA
263,Charlie Chaplin,5142,8399,8173,3522,1981,1541,3005,1146,1536,FA
264,Amanita muscaria,59385,8038,3251,1198,656,542,1044,361,444,FA
265,Frederick the Great,99613,7936,6660,2534,1227,1307,2149,1061,1106,FA
266,American white ibis,237129,7699,894,248,187,61,216,54,91,FA
267,Gary Cooper,44359,8141,2656,1149,658,491,970,438,376,FA
268,Rosetta Stone,26428,8222,6466,3110,1317,1793,2681,1719,600,FA
269,Gunpowder Plot,13159,8191,6512,2496,1076,1420,2138,1321,505,FA
270,Belton House,145492,7901,1214,339,248,91,288,103,183,FA
271,Stan Musial,280101,7641,2061,825,492,333,687,203,116,FA
272,Harvey Milk,195306,7778,3760,1419,868,551,1186,704,1436,FA
273,"John, King of England",16550,8202,5519,2452,1112,1340,2088,1281,555,FA
274,John Hay,16578,8158,1376,596,376,220,516,168,108,FA
275,Royal Maundy,198299,7772,1000,297,206,91,248,72,89,FA
276,Parallel computing,145162,7902,1672,808,485,323,711,186,196,FA
277,Cross of Gold speech,38725,8172,896,348,221,127,312,85,69,FA
278,Antiochus XII Dionysus,167788,7838,733,127,106,21,114,20,37,FA
279,Battle of the Eastern Solomons,261096,7664,799,276,214,62,223,27,58,FA
280,Bulgaria,3415,8467,13314,4339,2250,2089,3542,1821,2603,FA
281,Dubnium,8463,8321,1183,393,271,122,339,103,105,FA
282,Bride of Frankenstein,73375,7983,1580,678,440,238,561,117,165,FA
283,Jeremy Thorpe,228564,7712,1487,593,366,227,506,101,130,FA
284,European storm petrel,234121,7703,586,177,159,18,149,12,22,FA
285,United Airlines Flight 93,31978,8308,5708,2578,1259,1320,2217,1159,722,FA
286,Luton Town F.C.,18367,8276,6428,2099,923,1176,1743,805,135,FA
